Pages,Clicks,Impressions,CTR,Position
https://www.artsy.net/artist/andy-warhol,14644,2377128,0.62%,8.8
https://www.artsy.net/artist/takashi-murakami,11697,518511,2.26%,4.9
https://www.artsy.net/artist/ai-weiwei,8596,501077,1.72%,5.4
https://www.artsy.net/artist/gregory-crewdson,7639,133827,5.71%,4.7
https://www.artsy.net/artist/yayoi-kusama,7480,624839,1.2%,5.2
https://www.artsy.net/artist/robert-mapplethorpe,7125,312602,2.28%,6.1
https://www.artsy.net/artist/andy-goldsworthy-2,7101,234278,3.03%,5.9
https://www.artsy.net/artist/georgia-okeeffe,6582,694840,0.95%,7.0
https://www.artsy.net/artist/barbara-kruger,6526,184340,3.54%,4.0
https://www.artsy.net/artist/ronald-davis,6499,45011,14.44%,3.0
https://www.artsy.net/artist/hannah-hoch,6241,1663583,0.38%,2.3
https://www.artsy.net/artist/alec-monopoly,6213,141832,4.38%,6.5
https://www.artsy.net/artist/wayne-thiebaud,6191,153263,4.04%,4.0
https://www.artsy.net/artist/cindy-sherman,5959,275742,2.16%,6.0
https://www.artsy.net/artist/jean-michel-basquiat,5901,525198,1.12%,8.1
https://www.artsy.net/artist/jock-sturges,5695,76058,7.49%,4.1
https://www.artsy.net/artist/roy-lichtenstein,5601,587021,0.95%,6.0
https://www.artsy.net/artist/jenny-saville,5482,109002,5.03%,5.0
https://www.artsy.net/artist/nobuyoshi-araki,5277,117542,4.49%,5.2
https://www.artsy.net/artist/manfred-mohr,5070,28630,17.71%,3.1
https://www.artsy.net/artist/vincent-van-gogh,5005,2314536,0.22%,8.1
https://www.artsy.net/artist/keith-haring,4724,695358,0.68%,5.0
https://www.artsy.net/artist/joan-miro,4564,411828,1.11%,5.8
https://www.artsy.net/artist/salvador-dali,4536,1219007,0.37%,7.9
https://www.artsy.net/artist/diane-arbus,4275,174556,2.45%,5.9
https://www.artsy.net/artist/kaws,4224,275295,1.53%,6.2
https://www.artsy.net/artist/kara-walker,4054,118652,3.42%,7.7
https://www.artsy.net/artist/fernando-botero,3980,253897,1.57%,5.2
https://www.artsy.net/artist/william-eggleston,3910,132021,2.96%,5.3
https://www.artsy.net/artist/chuck-close,3861,230308,1.68%,5.5
https://www.artsy.net/artist/cy-twombly,3815,172032,2.22%,3.4
https://www.artsy.net/artist/sebastiao-salgado,3798,148297,2.56%,6.6
https://www.artsy.net/artist/jeanette-hayes,3752,44473,8.44%,3.2
https://www.artsy.net/artist/henri-matisse,3697,784698,0.47%,6.0
https://www.artsy.net/artist/man-ray,3659,226373,1.62%,5.7
https://www.artsy.net/artist/olga-kisseleva,3565,16794,21.23%,2.4
https://www.artsy.net/artist/marina-abramovic-1,3504,396139,0.88%,7.3
https://www.artsy.net/artist/piet-mondrian,3469,551916,0.63%,6.4
https://www.artsy.net/artist/marc-chagall,3451,378925,0.91%,5.4
https://www.artsy.net/artist/frank-stella,3405,148578,2.29%,5.0
https://www.artsy.net/artist/robert-frank,3376,128811,2.62%,4.9
https://www.artsy.net/artist/ansel-adams,3324,456426,0.73%,7.0
https://www.artsy.net/artist/damien-hirst,3298,327128,1.01%,6.0
https://www.artsy.net/artist/helmut-newton,3289,104872,3.14%,6.8
https://www.artsy.net/artist/edward-weston,3245,104236,3.11%,5.0
https://www.artsy.net/artist/andreas-gursky,3194,110506,2.89%,4.1
https://www.artsy.net/artist/bradley-theodore,3176,24097,13.18%,3.1
https://www.artsy.net/artist/kathe-kollwitz,3112,104812,2.97%,4.8
https://www.artsy.net/artist/paul-klee,3084,301302,1.02%,5.2
https://www.artsy.net/artist/anselm-kiefer,3065,117302,2.61%,4.8
https://www.artsy.net/artist/banksy,3011,411858,0.73%,9.2
https://www.artsy.net/artist/robert-rauschenberg,3009,225222,1.34%,4.7
https://www.artsy.net/artist/alexander-calder,2884,244001,1.18%,6.3
https://www.artsy.net/artist/jeff-koons,2864,289178,0.99%,6.5
https://www.artsy.net/artist/kerry-james-marshall,2826,102113,2.77%,6.8
https://www.artsy.net/artist/kehinde-wiley,2785,150164,1.85%,7.1
https://www.artsy.net/artist/david-hockney,2745,211060,1.3%,7.3
https://www.artsy.net/artist/mark-rothko,2693,410141,0.66%,5.8
https://www.artsy.net/artist/richard-avedon,2670,148467,1.8%,5.1
https://www.artsy.net/artist/malcolm-t-liepke,2548,31354,8.13%,2.5
https://www.artsy.net/artist/bridget-riley,2474,121724,2.03%,5.6
https://www.artsy.net/artist/zanele-muholi,2458,31447,7.82%,4.9
https://www.artsy.net/artist/andrew-wyeth,2412,182383,1.32%,5.7
https://www.artsy.net/artist/retna,2389,50090,4.77%,2.1
https://www.artsy.net/artist/imogen-cunningham,2372,54502,4.35%,4.1
https://www.artsy.net/artist/jenny-holzer,2349,97308,2.41%,5.1
https://www.artsy.net/artist/pablo-picasso,2340,1662673,0.14%,9.1
https://www.artsy.net/artist/william-kentridge,2333,100712,2.32%,6.7
https://www.artsy.net/artist/kwangho-shin,2319,19150,12.11%,2.7
https://www.artsy.net/artist/rene-magritte,2313,426866,0.54%,6.9
https://www.artsy.net/artist/egon-schiele,2299,295677,0.78%,5.7
https://www.artsy.net/artist/mark-bradford,2293,47501,4.83%,5.2
https://www.artsy.net/artist/jeff-wall,2284,58625,3.9%,5.5
https://www.artsy.net/artist/claude-monet,2273,913337,0.25%,7.8
https://www.artsy.net/artist/marcel-duchamp,2266,305815,0.74%,5.8
https://www.artsy.net/artist/sally-mann,2222,146264,1.52%,6.6
https://www.artsy.net/artist/john-currin,2184,38801,5.63%,4.9
https://www.artsy.net/artist/donatello,2163,293348,0.74%,8.4
https://www.artsy.net/artist/paul-strand,2131,45946,4.64%,5.0
https://www.artsy.net/artist/joseph-nechvatal,2094,14276,14.67%,3.1
https://www.artsy.net/artist/vik-muniz,2069,50306,4.11%,5.9
https://www.artsy.net/artist/mr-brainwash,2063,90071,2.29%,6.0
https://www.artsy.net/artist/tracey-emin,2047,133239,1.54%,6.3
https://www.artsy.net/artist/kiki-smith,2033,59833,3.4%,5.0
https://www.artsy.net/artist/nan-goldin,2021,99385,2.03%,6.2
https://www.artsy.net/artist/jackson-pollock,1992,886932,0.22%,8.4
https://www.artsy.net/artist/willem-de-kooning,1989,185127,1.07%,5.5
https://www.artsy.net/artist/helen-frankenthaler,1965,89947,2.18%,4.6
https://www.artsy.net/artist/louise-bourgeois,1901,163340,1.16%,6.8
https://www.artsy.net/artist/jasper-johns,1901,168214,1.13%,6.6
https://www.artsy.net/artist/david-lachapelle,1891,166518,1.14%,7.3
https://www.artsy.net/artist/michael-carson,1887,18804,10.04%,5.8
https://www.artsy.net/artist/ana-mendieta,1864,53985,3.45%,5.1
https://www.artsy.net/artist/shirin-neshat,1856,62669,2.96%,5.1
https://www.artsy.net/artist/ed-ruscha,1854,78796,2.35%,4.2
https://www.artsy.net/artist/ronald-ventura,1853,15254,12.15%,5.2
https://www.artsy.net/artist/julie-mehretu,1838,56230,3.27%,4.6
https://www.artsy.net/artist/francis-bacon,1834,404773,0.45%,8.6
https://www.artsy.net/artist/sandra-chevrier,1831,19933,9.19%,3.6
https://www.artsy.net/artist/thomas-ruff,1827,48174,3.79%,5.9
https://www.artsy.net/artist/tom-of-finland,1822,17586,10.36%,6.3
https://www.artsy.net/artist/richard-serra,1807,110982,1.63%,4.7
https://www.artsy.net/artist/andres-serrano,1795,90017,1.99%,5.5
https://www.artsy.net/artist/cai-guo-qiang,1795,61708,2.91%,5.3
https://www.artsy.net/artist/hiroshi-sugimoto,1773,69090,2.57%,4.4
https://www.artsy.net/artist/jonas-wood,1766,25886,6.82%,5.9
https://www.artsy.net/artist/daido-moriyama,1759,47515,3.7%,4.7
https://www.artsy.net/artist/francesca-woodman,1751,66488,2.63%,5.8
https://www.artsy.net/artist/harland-miller,1721,22983,7.49%,6.0
https://www.artsy.net/artist/zaria-forman,1682,31431,5.35%,8.3
https://www.artsy.net/artist/henri-cartier-bresson,1654,187005,0.88%,8.0
https://www.artsy.net/artist/albrecht-durer,1648,270142,0.61%,6.1
https://www.artsy.net/artist/sol-lewitt,1641,104967,1.56%,5.4
https://www.artsy.net/artist/john-baldessari,1613,64507,2.5%,4.5
https://www.artsy.net/artist/wassily-kandinsky,1613,468774,0.34%,7.5
https://www.artsy.net/artist/geoff-mcfetridge,1602,18789,8.53%,3.0
https://www.artsy.net/artist/alberto-giacometti,1569,146721,1.07%,6.9
https://www.artsy.net/artist/david-lynch,1553,37471,4.14%,7.3
https://www.artsy.net/artist/agnes-martin,1551,67675,2.29%,5.4
https://www.artsy.net/artist/josef-albers,1516,83691,1.81%,5.7
https://www.artsy.net/artist/richard-diebenkorn,1503,55388,2.71%,4.0
https://www.artsy.net/artist/elizabeth-peyton,1501,34193,4.39%,4.1
https://www.artsy.net/artist/victor-vasarely,1480,81355,1.82%,6.2
https://www.artsy.net/artist/richard-estes,1470,42983,3.42%,4.9
https://www.artsy.net/artist/rinko-kawauchi,1458,31342,4.65%,4.0
https://www.artsy.net/artist/tara-donovan,1453,24645,5.9%,4.0
https://www.artsy.net/artist/shepard-fairey,1447,236893,0.61%,7.0
https://www.artsy.net/artist/bobbie-burgers,1433,20391,7.03%,4.1
https://www.artsy.net/artist/hassan-hajjaj,1433,17189,8.34%,3.6
https://www.artsy.net/artist/faith-ringgold,1430,43093,3.32%,5.1
https://www.artsy.net/artist/sonia-delaunay,1422,61038,2.33%,5.0
