,Clicks,Impressions,inquiry_requests_count,bid_count,on_artsy,search_volume,artist_slug,domain,gallery_tier,lead_id,account_id,min_distance_to_art_city,partner_on_artsy
0,379.0,22668.0,772.0,97.0,8.0,5600.0,25,.gordonsmithgallery.ca,,00QC000001k6grwMAA,,3217.2964301211628,False
7,7615.0,347254.0,1149.0,70.0,7.0,20090.0,24,123watts.com,,00QC000001ehWMMMA2,,5222.14274572964,False
9,1283.0,24351.0,196.0,34.0,4.0,7660.0,15,15thstreetgalleryboulder.com,,,,4704.823378295425,False
10,8054.0,166272.0,477.0,3.0,3.0,11370.0,14,1839littlegallery.blogspot.fr,,00QC000001ei9GIMAY,,3217.2964301211628,False
13,,,0.0,0.0,1.0,210.0,24,2010gallerykc.com,,,,3217.2964301211628,False
24,1882.0,49784.0,392.0,34.0,4.0,2030.0,21,360.co.jp,,00QC000001k6gsSMAQ,,327.0524718224672,False
45,12570.0,2771966.0,4596.0,777.0,12.0,197210.0,26,Cavalierofinearts.com,,,,3217.2964301211628,False
58,2110.0,98221.0,850.0,27.0,7.0,3180.0,20,Ruevisconti-editions.com,,,,0.33277570016398605,False
69,,,3.0,1.0,4.0,90.0,8,aamgalleria.it,,,,3217.2964301211628,False
72,,,32.0,1.0,1.0,320.0,25,aarwungallery.com,,00QC000001einJPMAY,,3217.2964301211628,False
82,3324.0,456426.0,267.0,41.0,1.0,50510.0,26,abreugallery.com,,00QC000001k6f01MAA,,3217.2964301211628,False
95,1303.0,107447.0,394.0,6.0,3.0,7330.0,7,acfny.org,,00QC000001ehbFIMAY,001C000001XDTK5IAP,3483.379126855143,False
99,,,378.0,36.0,2.0,3960.0,24,acp.org.au,,00QC000001Xiba1MAB,001C000001PbrVlIAJ,3217.2964301211628,False
102,5695.0,76058.0,1234.0,36.0,11.0,16210.0,25,acte2galerie.com,,00QC000001ejEslMAE,,3217.2964301211628,False
110,9009.0,403413.0,5472.0,445.0,12.0,44720.0,24,adamsoneditions.com,,00QC000001eiMBRMA2,,3217.2964301211628,False
112,2225.0,97837.0,344.0,34.0,6.0,1040.0,11,adanigallery.com,,00QC000001eihitMAA,001C000001XDTGgIAP,3217.2964301211628,False
114,,,26.0,21.0,1.0,2650.0,17,addisonarts.com,,,,3217.2964301211628,False
118,2412.0,182383.0,26.0,3.0,2.0,19660.0,12,adelsongalleriesboston.com,,00QC000001eibCGMAY,,3217.2964301211628,False
119,,,185.0,7.0,5.0,1210.0,25,adiaf.com,,00QC000001ejapDMAQ,,3217.2964301211628,False
122,,,1.0,1.0,1.0,1000.0,4,adnet-arbus.com,,,001C000001Y54pxIAB,3217.2964301211628,False
132,4486.0,243644.0,2064.0,489.0,10.0,15010.0,25,affordableart101.com,,00QC000001dvjLVMAY,001C000001XDTGlIAP,3217.2964301211628,False
133,,,42.0,0.0,1.0,110.0,25,affordindianart.com,,00QC000001k6gxNMAQ,,895.8752392052952,False
136,1427.0,83468.0,291.0,69.0,3.0,5370.0,4,afterimage.com,,,,3217.2964301211628,False
143,14644.0,2377128.0,8391.0,604.0,1.0,165000.0,25,agp.on.ca,,00QC000001fzDo3MAE,,3503.1141059949155,False
145,,,6.0,0.0,1.0,720.0,16,aguafuertegaleria.com,,00QC000001eibRGMAY,,3217.2964301211628,False
150,1065.0,100968.0,292.0,116.0,2.0,12460.0,9,aidanmeller.com,,00QC000001ehWX9MAM,,3217.2964301211628,False
157,765.0,56249.0,173.0,66.0,6.0,39070.0,25,ajkollar.com,,00QC000001ehDzbMAE,,4480.4378055309435,False
172,651.0,23768.0,1156.0,222.0,11.0,1000.0,23,albanesearte.it,,00QC000001eiMlSMAU,,3217.2964301211628,False
178,,,36.0,3.0,3.0,640.0,9,aldacaparrellifineart.com,,00QC000001eiXjrMAE,,3217.2964301211628,False
183,679.0,275066.0,306.0,18.0,5.0,22590.0,25,aleandriartemoderna.com,,00QC000001eiNySMAU,,244.4254022738327,False
187,17670.0,4120976.0,11961.0,1103.0,7.0,280400.0,14,alessandroorlando.it,,00QC000001eh82oMAA,,3217.2964301211628,False
195,642.0,83174.0,4.0,1.0,1.0,36330.0,22,alexplast.narod.ru,,,,3217.2964301211628,False
199,2935.0,135543.0,1669.0,146.0,7.0,12620.0,9,alg.nscad.ca,,00QC000001eiaUKMAY,,3217.2964301211628,False
202,2631.0,58542.0,994.0,94.0,7.0,5000.0,25,aliceday.be,,00QC000001dvlBOMAY,,3217.2964301211628,False
208,,,0.0,0.0,1.0,170.0,22,allanmcintyrefineart.com,,00QC000001eijdkMAA,,5321.897362788085,False
209,12925.0,548199.0,2431.0,168.0,20.0,43170.0,25,allanstonegallery.com,,,,3217.2964301211628,False
218,5874.0,594868.0,1424.0,298.0,5.0,22840.0,8,alnorumart.nl,,00QC000001k6gyKMAQ,,218.91244118417833,False
221,686.0,81175.0,529.0,71.0,2.0,5490.0,23,alpgalleries.com,,00QC000001ejPDkMAM,,3217.2964301211628,False
233,,,89.0,5.0,1.0,2480.0,14,ambientartprojects.com,,00QC000001eiw4eMAA,,3217.2964301211628,False
234,265.0,13499.0,22.0,1.0,3.0,1470.0,4,ambrosiana.cz,,00QC000001k6gyZMAQ,,207.2234973515535,False
237,9210.0,735896.0,3130.0,365.0,7.0,49770.0,25,americanfineartgallery.com,,00QC000001ej6z5MAA,,5286.067553899227,False
240,,,0.0,0.0,1.0,260.0,24,americanprimitive.com,,,001C000001X4jzCIAR,3478.864901549342,False
247,1356.0,152954.0,229.0,6.0,1.0,10700.0,25,amourdart.com,,00QC000001ehHagMAE,,3217.2964301211628,False
259,,,11.0,0.0,3.0,1090.0,25,anamorfose.be,,00QC000001k6grQMAQ,,137.64331297212902,False
260,,,331.0,9.0,1.0,860.0,24,anaserratosa.com,,00QC000001k6gytMAA,,3217.2964301211628,False
274,,,11.0,0.0,1.0,590.0,17,andreasmithgallery.com,,00QC000001ehHZhMAM,,3217.2964301211628,False
281,8138.0,240742.0,1535.0,105.0,7.0,22190.0,23,andrewroth.com,,00QC000001XiZzIMAV,,3217.2964301211628,False
282,1187.0,46784.0,113.0,17.0,1.0,3690.0,12,andrewshiregallery.com,,00QC000001k6h20MAA,,3217.2964301211628,False
284,387.0,54386.0,47.0,6.0,1.0,16200.0,25,angelakinggallery.com,,00QC000001ejSnBMAU,,4649.346308058327,False
307,,,127.0,0.0,1.0,4340.0,25,anneneilsonfineart.com,,,,3217.2964301211628,False
316,,,5.0,3.0,1.0,880.0,25,anoukvilain.be,,00QC000001ehQkiMAE,,3217.2964301211628,False
320,,,2.0,0.0,3.0,650.0,22,antes-artdeco.nl,,00QC000001aF0bDMAS,,178.54821541150355,False
321,,,0.0,1.0,1.0,140.0,25,antgallery.org,,00QC000001eiv9OMAQ,,3217.2964301211628,False
322,2496.0,162383.0,1428.0,227.0,12.0,6900.0,26,anthonyhepworth.com,,,,3217.2964301211628,False
